Paper_ID,DOI,Role,Journal,Figure_count,Figure_panels_estimated,Figure_types_detected,First_figure_caption_excerpt,Table_count,Table_types_detected,First_table_caption_excerpt,Source_PDF,Status
P108,10.1109/tie.2022.3217585,B,TIE,10,15,QUANTITATIVE_RESULT, Diagram of the proposed NSB control scheme.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Zheng_2022_TIE_Null-Space-Based-Time-Varying-Formation-Control-of-Uncertain-Nonlinear.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P109,10.1109/taes.2025.3650551,B,TAES,12,14,METHOD_FRAMEWORK; QUANTITATIVE_RESULT; REAL_WORLD; SCENARIO; TRAJECTORY, Framework of the A VSRL tracking control method.,2,MAIN_COMPARISON,Quantitative Tracking Performance Comparison,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Ma_2026_TAES_Attention-Guided-Reinforcement-Learning-for-Visual-Servoing-Control-of.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P110,10.1109/tvt.2021.3129504,B,TVT,11,13,QUANTITATIVE_RESULT; TRAJECTORY, An example of target tracking with a swarm of rotary-wing UA Vs under,1,COMPLEXITY; PARAMETERS,SIMULA TIONPARAMETERS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TVT\Xia_2022_TVT_Multi-Agent-Reinforcement-Learning-Aided-Intelligent-UAV-Swarm-for-Tar.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P111,10.1109/tits.2023.3336670,B,TITS,13,16,METHOD_FRAMEWORK; PROBLEM; SCENARIO; TRAJECTORY, The system modeling of the behavior planning and control problem,5,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,SAFE ACTOR -CRITIC HYPERPARAMETERS,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Han_2024_TITS_A-Multi-Agent-Reinforcement-Learning-Approach-for-Safe-and-Efficient-B.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P112,10.1109/tcyb.2020.3041269,B,TCYB,18,27,QUANTITATIVE_RESULT; SCENARIO, The robot and the data -driven multiobjective learning configuration of ,4,ENVIRONMENT_SETTINGS; MAIN_COMPARISON, AVERAGE ROBOT -OBSTACLE DISTANCE ERROR AND ,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Juang_2021_TCYB_Navigation-of-a-Fuzzy-Controlled-Wheeled-Robot-Through-the-Combination.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P113,10.1109/tase.2024.3524000,B,TASE,11,25,PROBLEM; QUALITATIVE_RESULT; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, The diagram illustrates the reciprocal velocity obstacles for both static line obstacles and dynamic agents.,4,ABLATION,SUCCESS RATES OF DIFFERENT METHODS IN THE CIRCLE SCENARIO,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Chen_2025_TASE_STR-Spatial-Temporal-RetNet-for-Distributed-Multi-Robot-Navigation.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P114,10.1109/tits.2023.3286898,B,TITS,10,13,PROBLEM; QUANTITATIVE_RESULT; SCENARIO," Simulation results for Scenario 1 with the proposed method at time stamps τ = 0, τ = 40, τ = 55, and τ = 99.",3,MAIN_COMPARISON,"COMPARISON OF COMPUTATION TIME BETWEEN THE PROPOSED METHOD , C ENTRALIZED I LQR, IPOPT, AND SQP FOR SCENARIOS 1 AND 2",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TITS\Huang_2023_TITS_Decentralized-iLQR-for-Cooperative-Trajectory-Planning-of-Connected-Au.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P115,10.1109/tac.2024.3427908,B,TAC,1,1,UNKNOWN, Schematic representation of the control setup.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Dolk_2024_TAC_Time-and-Event-Triggered-Communication-for-Multi-Agent-Systems-Part-I-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P116,10.1109/tnnls.2021.3106818,B,TNNLS,9,16,METHOD_FRAMEWORK; QUANTITATIVE_RESULT, SRL framework with a supervis or which decides on the actual applied,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\Zhou_2021_TNNLS_Learning-a-Low-Dimensional-Representation-of-a-Safe-Region-for-Safe-Re.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P117,10.1109/tase.2025.3603024,B,TASE,14,18,REAL_WORLD; SCENARIO; SENSITIVITY, Illustration of Goal States and Stable Suboptimal Policies: States are,9,COMPLEXITY; MAIN_COMPARISON; PARAMETERS; ROBUSTNESS,"COVERAGE RATE FOR 15, 30 V EHICLES IN THE CC T ASK",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Feng_2025_TASE_Lyapunov-Informed-Multi-Agent-Reinforcement-Learning-for-Multi-Robot-C.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P118,10.1109/tim.2024.3421433,B,TIM,10,30,METHOD_FRAMEWORK; NETWORK_ARCHITECTURE; PROBLEM; SCENARIO, Distributed multi-UA V communication coverage scenario.,1,COMPLEXITY; PARAMETERS,KEY PARAMETERS OF SIMULATION,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Cheng_2024_TIM_Joint-Optimization-of-Multi-UAV-Deployment-and-User-Association-via-De.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P119,10.1109/tmech.2023.3328168,B,TMECH,10,11,PROBLEM, Reference systems definition.,2,UNKNOWN,MEAN AND STANDARD DEVIATION OF THE ERROR BETWEEN THE TRUE,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TMECH\Roggi_2023_TMECH_Vision-Based-Air-to-Air-Autonomous-Landing-of-Underactuated-VTOL-UAVs.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P120,10.1109/tim.2022.3151934,B,TIM,17,23,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; SYSTEM_OVERVIEW, Diagram of the localizatio n system setup based on UWB nodes for,6,MAIN_COMPARISON,"lists the MAE and STD. As observed from the results,",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIM\Jia_2022_TIM_Composite-Filtering-for-UWB-Based-Localization-of-Quadrotor-UAV-With-S.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
